,source,title,episodes,score,favorites,genres,start_date,total_duration
123,manga,Black Clover,170.0,8.12,38373,"['Action', 'Comedy', 'Fantasy']",2017-10-03,4051
124,visual_novel,Shingeki no Kyojin: Kuinaki Sentaku,2.0,8.41,1802,['Action'],2014-12-09,54
125,web_manga,Ousama Ranking,23.0,8.61,9905,"['Adventure', 'Fantasy']",2021-10-15,525
126,web_manga,Danshi Koukousei no Nichijou,12.0,8.24,13154,['Comedy'],2012-01-10,288
127,manga,Tensei shitara Slime Datta Ken 2nd Season Part 2,12.0,8.32,9674,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2021-07-06,284
128,original,Angel Beats!,13.0,8.07,46382,"['Drama', 'Supernatural']",2010-04-03,318
129,manga,Fumetsu no Anata e,20.0,8.38,11833,"['Adventure', 'Drama', 'Supernatural']",2021-04-12,500
130,light_novel,Durarara!!,24.0,8.12,29224,"['Action', 'Mystery', 'Supernatural']",2010-01-08,584
131,manga,Dr. Stone: Stone Wars,11.0,8.18,6678,"['Adventure', 'Comedy', 'Sci-Fi']",2021-01-14,264
132,manga,Bungou Stray Dogs 2nd Season,12.0,8.2,6203,"['Action', 'Mystery', 'Supernatural']",2016-10-06,284
133,manga,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,24.0,8.1,19270,"['Action', 'Adventure', 'Drama', 'Supernatural']",2014-04-05,576
134,light_novel,Violet Evergarden Movie,1.0,8.94,6979,"['Drama', 'Fantasy', 'Slice of Life']",2020-09-18,140
135,manga,Shokugeki no Souma: Ni no Sara,13.0,8.11,3025,"['Ecchi', 'Gourmet']",2016-07-02,316
136,novel,NHK ni Youkoso!,24.0,8.32,23719,"['Comedy', 'Drama', 'Romance']",2006-07-10,576
137,light_novel,Sakura-sou no Pet na Kanojo,24.0,8.11,25736,"['Drama', 'Romance']",2012-10-09,568
138,manga,Hunter x Hunter,62.0,8.4,9768,"['Action', 'Adventure', 'Fantasy']",1999-10-16,1426
139,manga,Kimetsu no Yaiba: Mugen Ressha-hen,7.0,8.39,3175,"['Action', 'Fantasy']",2021-10-10,169
140,light_novel,Ookami to Koushinryou,13.0,8.23,17069,"['Adventure', 'Fantasy', 'Romance']",2008-01-09,312
141,manga,Akira,1.0,8.16,11690,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']",1988-07-16,124
142,manga,3-gatsu no Lion,22.0,8.39,14334,"['Drama', 'Slice of Life']",2016-10-08,550
143,original,Evangelion: 2.0 You Can (Not) Advance,1.0,8.32,3175,"['Action', 'Drama', 'Sci-Fi']",2009-07-27,112
144,manga,3-gatsu no Lion 2nd Season,22.0,8.95,14296,"['Drama', 'Slice of Life']",2017-10-14,550
145,light_novel,Kizumonogatari I: Tekketsu-hen,1.0,8.38,3179,[],2016-01-08,64
146,manga,Fruits Basket 2nd Season,25.0,8.57,5179,"['Drama', 'Romance', 'Supernatural']",2020-04-07,583
147,manga,Fruits Basket: The Final,13.0,9.03,16746,"['Drama', 'Romance', 'Supernatural']",2021-04-06,299
148,manga,Nana,47.0,8.52,23736,"['Drama', 'Romance', 'Slice of Life']",2006-04-05,1081
149,manga,Given,11.0,8.34,15196,"['Boys Love', 'Drama', 'Romance', 'Slice of Life']",2019-07-12,250
150,manga,Koukaku Kidoutai,1.0,8.28,11339,"['Action', 'Sci-Fi']",1995-11-18,82
151,original,Kill la Kill,24.0,8.04,35278,"['Action', 'Comedy', 'Ecchi']",2013-10-04,586
152,original,Zankyou no Terror,11.0,8.1,20365,"['Mystery', 'Suspense']",2014-07-11,251
